grade,lesson_term,subject,unit_order,unit_name,lesson_order,lesson_name
g9,t2,s3,u1,,l2,"حل معادلة من الدرجة الثانية فى مجهول واحد جبريًا وبيانياً"
g9,t2,s3,u1,,l1,"حل معادلتين من الدرجة الأولى فى متغيرين جبريًا وبيانياً"
g9,t2,s2,u4,,l2,"الدرس الثاني: مصر والمنظمات الإقليمية والدولية"
g9,t2,s2,u4,,l1,"الدرس الأول: الحياة النيابية والحزبية ودور المرأة في العمل الوطني"
g9,t2,s2,u3,,l5,"الدرس الخامس: ثورة 25 يناير 2011 و 30 يونيو 2013"
g9,t2,s2,u3,,l4,"الدرس الرابع: مصر والصراع العربي الإسرائيلي"
g9,t2,s2,u3,,l3,"الدرس الثالث: حرب أكتوبر 1973م"
g9,t2,s2,u3,,l2,"الدرس الثاني: مصر والقضية الفلسطينية"
g9,t2,s2,u3,,l1,"الدرس الأول: ثورة 23 يوليو 1952م"
g9,t2,s2,u2,,l5,"الدرس الخامس: الولايات المتحدة الأمريكية"
g9,t2,s2,u2,,l4,"الدرس الرابع: ألمانيا الاتحادية"
g9,t2,s2,u2,,l3,"الدرس الثالث: جمهورية نيجيريا الاتحادية"
g9,t2,s2,u2,,l2,"الدرس الثاني: جمهورية البرازيل الاتحادية"
g9,t2,s2,u2,,l1,"الدرس الأول: جمهورية الهند"
g9,t2,s2,u1,,l4,"الدرس الرابع: النشاط الصناعي في العالم"
g9,t2,s2,u1,,l3,"الدرس الثالث: النشاط التعديني في العالم"
g9,t2,s2,u1,,l2,"الدرس الثاني: الرعي والثروة الحيوانية والسمكية في العالم"
g9,t2,s2,u1,,l1,"الدرس الأول: النشاط الزراعي وموارده في العالم"
g9,t2,s1,u3,,l4,"المشروعات الصغيرة"
g9,t2,s1,u3,,l3,"حب الوطن"
g9,t2,s1,u3,,l2,"الحمامة المطوقة"
g9,t2,s1,u3,,l1,"استعن بالله"
g9,t2,s1,u2,,l3,"فالق الحب والنوى"
g9,t2,s1,u2,,l2,"وادي الكنانة"
g9,t2,s1,u2,,l1,"رسالة إلى ابني"
g9,t2,s1,u1,,l3,"رحلات تاريخية"
g9,t2,s1,u1,,l2,"الحياة دقائق وثوان"
g9,t2,s1,u1,,l1,"سفينة نوح عليه السلام"
g9,t1,s8,u4,,l2,"Lesson 2 : Sexual and Asexual Reproduction"
g9,t1,s8,u4,,l1,"Lesson 1 :Cell Division"
g9,t1,s8,u3,,l1,"Lesson 1 : The Universe and The Solar System"
g9,t1,s8,u2,,l2,"Lesson 2 : Lenses"
g9,t1,s8,u2,,l1,"Lesson 1 :Mirrors"
g9,t1,s8,u1,,l3,"Lesson 3 : Physical Quantities; Scalars and Vectors"
g9,t1,s8,u1,,l2,"Lesson 2:
            Graphic Representation of the Motion in a Straight Line"
g9,t1,s8,u1,,l1,"Lesson 1:
            Motion in One Direction"
g9,t1,s7,u5,,l4,"4-	The Equation of the straight line given its slope and its y - intercept"
g9,t1,s7,u5,,l3,"3-	The slope of the straight line"
g9,t1,s7,u5,,l2,"2-	The Two Coordinates of the midpoint segment"
g9,t1,s7,u5,,l1,"1-	Distance between two points"
g9,t1,s7,u4,,l2,"2-	The main trigonometrically ratios of some angle"
g9,t1,s7,u4,,l1,"1-	The main trigonometrically ratios of the acute angle"
g9,t1,s7,u3,,l2,"2-	Dispersion"
g9,t1,s7,u3,,l1,"1-	Collecting Data"
g9,t1,s7,u2,,l3,"3-	Direct Variation and Inverse Variation"
g9,t1,s7,u2,,l2,"2-	Proportion"
g9,t1,s7,u2,,l1,"1-	Ratio"
g9,t1,s7,u1,,l4,"4-	Polynomial functions"
g9,t1,s7,u1,,l3,"3-	Functions (Mapping)"
g9,t1,s7,u1,,l2,"2-	Relations"
g9,t1,s7,u1,,l1,"1-	Cartesian product"
g9,t1,s6,u8,,l2,"Lesson 2"
g9,t1,s6,u8,,l1,"Lesson 1"
g9,t1,s6,u7,,l7,"Lesson 7"
g9,t1,s6,u7,,l6,"Lesson 6"
g9,t1,s6,u7,,l5,"Lesson 5"
g9,t1,s6,u7,,l4,"Lesson 4"
g9,t1,s6,u7,,l3,"Lesson 3"
g9,t1,s6,u7,,l2,"Lesson 2"
